address_id,canonical_address,spoken_variant,locality,pincode,source
blr_1511a5a4174d0578,R K Hegde Nagara,r k hegde nagara,R K Hegde Nagara,,mixed
blr_1511a5a4174d0578,R K Hegde Nagara,in r k hegde nagara,R K Hegde Nagara,,mixed
blr_1511a5a4174d0578,R K Hegde Nagara,near r k hegde nagara,R K Hegde Nagara,,mixed
blr_1511a5a4174d0578,R K Hegde Nagara,around r k hegde nagara,R K Hegde Nagara,,mixed
blr_1511a5a4174d0578,R K Hegde Nagara,r k hegde nagara area,R K Hegde Nagara,,mixed
blr_570354e281f06584,VV Puram,vv puram,VV Puram,,mixed
blr_570354e281f06584,VV Puram,in vv puram,VV Puram,,mixed
blr_570354e281f06584,VV Puram,near vv puram,VV Puram,,mixed
blr_570354e281f06584,VV Puram,around vv puram,VV Puram,,mixed
blr_570354e281f06584,VV Puram,vv puram area,VV Puram,,mixed
blr_49a8450a48326a2e,JP Nagar,jp nagar,JP Nagar,,mixed
blr_49a8450a48326a2e,JP Nagar,in jp nagar,JP Nagar,,mixed
blr_49a8450a48326a2e,JP Nagar,near jp nagar,JP Nagar,,mixed
blr_49a8450a48326a2e,JP Nagar,around jp nagar,JP Nagar,,mixed
blr_49a8450a48326a2e,JP Nagar,jp nagar area,JP Nagar,,mixed
blr_73140d697e9ba0cc,Banashankari 2nd Stage,banashankari 2nd stage,Banashankari 2nd Stage,,mixed
blr_73140d697e9ba0cc,Banashankari 2nd Stage,banashankari two stage,Banashankari 2nd Stage,,mixed
blr_73140d697e9ba0cc,Banashankari 2nd Stage,banashankari second stage,Banashankari 2nd Stage,,mixed
blr_73140d697e9ba0cc,Banashankari 2nd Stage,in banashankari 2nd stage,Banashankari 2nd Stage,,mixed
blr_73140d697e9ba0cc,Banashankari 2nd Stage,near banashankari two stage,Banashankari 2nd Stage,,mixed
blr_a82222b8e6b0756d,RT Nagar,rt nagar,RT Nagar,,mixed
blr_a82222b8e6b0756d,RT Nagar,in rt nagar,RT Nagar,,mixed
blr_a82222b8e6b0756d,RT Nagar,near rt nagar,RT Nagar,,mixed
blr_a82222b8e6b0756d,RT Nagar,around rt nagar,RT Nagar,,mixed
blr_a82222b8e6b0756d,RT Nagar,rt nagar area,RT Nagar,,mixed
blr_ae9f652fbd1042a9,BEL Colony,bel colony,BEL Colony,,mixed
blr_ae9f652fbd1042a9,BEL Colony,in bel colony,BEL Colony,,mixed
blr_ae9f652fbd1042a9,BEL Colony,near bel colony,BEL Colony,,mixed
blr_ae9f652fbd1042a9,BEL Colony,around bel colony,BEL Colony,,mixed
blr_ae9f652fbd1042a9,BEL Colony,bel colony area,BEL Colony,,mixed
blr_18a101ea7e24abc9,KR Puram,kr puram,KR Puram,,mixed
blr_18a101ea7e24abc9,KR Puram,in kr puram,KR Puram,,mixed
blr_18a101ea7e24abc9,KR Puram,near kr puram,KR Puram,,mixed
blr_18a101ea7e24abc9,KR Puram,around kr puram,KR Puram,,mixed
blr_18a101ea7e24abc9,KR Puram,kr puram area,KR Puram,,mixed
blr_97f6ab1cf4a547dc,ITI Colony,iti colony,ITI Colony,,mixed
blr_97f6ab1cf4a547dc,ITI Colony,in iti colony,ITI Colony,,mixed
blr_97f6ab1cf4a547dc,ITI Colony,near iti colony,ITI Colony,,mixed
blr_97f6ab1cf4a547dc,ITI Colony,around iti colony,ITI Colony,,mixed
blr_97f6ab1cf4a547dc,ITI Colony,iti colony area,ITI Colony,,mixed
blr_b7c7aca4b9c6b3ed,GNR Gardens,gnr gardens,GNR Gardens,,mixed
blr_b7c7aca4b9c6b3ed,GNR Gardens,in gnr gardens,GNR Gardens,,mixed
blr_b7c7aca4b9c6b3ed,GNR Gardens,near gnr gardens,GNR Gardens,,mixed
blr_b7c7aca4b9c6b3ed,GNR Gardens,around gnr gardens,GNR Gardens,,mixed
blr_b7c7aca4b9c6b3ed,GNR Gardens,gnr gardens area,GNR Gardens,,mixed
blr_bb0298550c73bad1,BTM Layout,b t m layout,BTM Layout,,mixed
blr_bb0298550c73bad1,BTM Layout,btm layout,BTM Layout,,mixed
blr_bb0298550c73bad1,BTM Layout,in b t m layout,BTM Layout,,mixed
blr_bb0298550c73bad1,BTM Layout,near btm layout,BTM Layout,,mixed
blr_bb0298550c73bad1,BTM Layout,around b t m layout,BTM Layout,,mixed
blr_f06a3fd144349a51,ISRO Layout,isro layout,ISRO Layout,,mixed
blr_f06a3fd144349a51,ISRO Layout,in isro layout,ISRO Layout,,mixed
blr_f06a3fd144349a51,ISRO Layout,near isro layout,ISRO Layout,,mixed
blr_f06a3fd144349a51,ISRO Layout,around isro layout,ISRO Layout,,mixed
blr_f06a3fd144349a51,ISRO Layout,isro layout area,ISRO Layout,,mixed
blr_e04b56ea3f2bfbc6,HSR Layout,h s r layout,HSR Layout,,mixed
blr_e04b56ea3f2bfbc6,HSR Layout,hsr layout,HSR Layout,,mixed
blr_e04b56ea3f2bfbc6,HSR Layout,in h s r layout,HSR Layout,,mixed
blr_e04b56ea3f2bfbc6,HSR Layout,near hsr layout,HSR Layout,,mixed
blr_e04b56ea3f2bfbc6,HSR Layout,around h s r layout,HSR Layout,,mixed
blr_aaf18ecc3a6f48fb,Austin Town BDA Layout,austin town bda layout,Austin Town BDA Layout,,mixed
blr_aaf18ecc3a6f48fb,Austin Town BDA Layout,in austin town bda layout,Austin Town BDA Layout,,mixed
blr_aaf18ecc3a6f48fb,Austin Town BDA Layout,near austin town bda layout,Austin Town BDA Layout,,mixed
blr_aaf18ecc3a6f48fb,Austin Town BDA Layout,around austin town bda layout,Austin Town BDA Layout,,mixed
blr_aaf18ecc3a6f48fb,Austin Town BDA Layout,austin town bda layout area,Austin Town BDA Layout,,mixed
blr_4d9c24b2cbbb31ad,NAL Layout,nal layout,NAL Layout,,mixed
blr_4d9c24b2cbbb31ad,NAL Layout,in nal layout,NAL Layout,,mixed
blr_4d9c24b2cbbb31ad,NAL Layout,near nal layout,NAL Layout,,mixed
blr_4d9c24b2cbbb31ad,NAL Layout,around nal layout,NAL Layout,,mixed
blr_4d9c24b2cbbb31ad,NAL Layout,nal layout area,NAL Layout,,mixed
blr_946bcab83915b174,RBI Colony,rbi colony,RBI Colony,,mixed
blr_946bcab83915b174,RBI Colony,in rbi colony,RBI Colony,,mixed
blr_946bcab83915b174,RBI Colony,near rbi colony,RBI Colony,,mixed
blr_946bcab83915b174,RBI Colony,around rbi colony,RBI Colony,,mixed
blr_946bcab83915b174,RBI Colony,rbi colony area,RBI Colony,,mixed
blr_88d87a93f77f6313,LIC Colony,lic colony,LIC Colony,,mixed
blr_88d87a93f77f6313,LIC Colony,in lic colony,LIC Colony,,mixed
blr_88d87a93f77f6313,LIC Colony,near lic colony,LIC Colony,,mixed
blr_88d87a93f77f6313,LIC Colony,around lic colony,LIC Colony,,mixed
blr_88d87a93f77f6313,LIC Colony,lic colony area,LIC Colony,,mixed
blr_aada122f36d9b47e,Jayanagar 8th Block,jayanagar eighth block,Jayanagar 8th Block,,mixed
