name,tag_type,source
Vidyaranyapura,place:suburb,osm
Bangalore Urban,place:county,osm
Domlur,place:quarter,osm
Kodihalli,place:quarter,osm
Whitefield,place:suburb,osm
Brookefield,place:quarter,osm
Srirampura,place:neighbourhood,osm
R K Hegde Nagara,place:quarter,osm
Shabarinagara,place:neighbourhood,osm
Kothanur,place:quarter,osm
Geddalahalli,place:quarter,osm
Bileshivale,place:village,osm
Kyalasanahalli,place:village,osm
Chikkabyrathi,place:neighbourhood,osm
Byrathi,place:neighbourhood,osm
Seshadripuram,place:quarter,osm
Malleswaram,place:suburb,osm
Sampangirama Nagar,place:neighbourhood,osm
Shanti Nagar,place:suburb,osm
Shivajinagar,place:suburb,osm
Gandhinagar,place:suburb,osm
VV Puram,place:quarter,osm
Jayanagar,place:suburb,osm
JP Nagar,place:suburb,osm
Banashankari 2nd Stage,place:quarter,osm
Chamarajapete,place:suburb,osm
Sriramapuram,place:quarter,osm
Rajajinagar,place:suburb,osm
Vijaya Nagar,place:suburb,osm
Hampi Nagar,place:quarter,osm
Mavalli,place:neighbourhood,osm
Madiwala,place:quarter,osm
Koramangala,place:suburb,osm
Adugodi,place:quarter,osm
Wilson Garden,place:quarter,osm
Austin Town,place:suburb,osm
Ashok Nagar,place:quarter,osm
Viveknagar,place:neighbourhood,osm
Ejipura,place:quarter,osm
Cubbonpet,place:neighbourhood,osm
Old Tharagupete,place:neighbourhood,osm
Sowrashtrapet,place:locality,osm
Sultanpete,place:neighbourhood,osm
Ranasingpete,place:neighbourhood,osm
Chikkapete,place:suburb,osm
Balepet,place:neighbourhood,osm
Kalasipalyam,place:quarter,osm
Marenahalli,place:quarter,osm
Basavanagudi,place:suburb,osm
Benson Town,place:quarter,osm
RT Nagar,place:suburb,osm
Ganga Nagar,place:quarter,osm
Frazer Town,place:suburb,osm
Cox Town,place:quarter,osm
Richards Town,place:quarter,osm
Yelahanka,place:suburb,osm
Mathikere,place:suburb,osm
BEL Colony,place:neighbourhood,osm
Jalahalli,place:suburb,osm
Kalkere,place:neighbourhood,osm
Jayantinagara,place:neighbourhood,osm
Marathahalli,place:suburb,osm
Ashwath Nagar,place:neighbourhood,osm
Hemanth Nagar,place:locality,osm
Ananda Nagara,place:neighbourhood,osm
Doddanekundi,place:quarter,osm
KR Puram,place:suburb,osm
ITI Colony,place:quarter,osm
Ramamurthy Nagar,place:suburb,osm
Kasturi Nagar,place:quarter,osm
Poojappa Layout,place:neighbourhood,osm
Babusabpalya,place:neighbourhood,osm
GNR Gardens,place:neighbourhood,osm
Baiyyappanahalli,place:suburb,osm
Banaswadi,place:suburb,osm
Yeswanthpur,place:suburb,osm
Nandini Layout,place:quarter,osm
Bommanahalli,place:quarter,osm
BTM Layout,place:suburb,osm
Puttenahalli,place:quarter,osm
Padmanabha Nagar,place:quarter,osm
ISRO Layout,place:quarter,osm
Kumaraswamy Layout,place:quarter,osm
Rajarajeshwari Nagar,place:suburb,osm
Jnana Bharathi,place:suburb,osm
Goragunte Palya,place:quarter,osm
Indiranagar,place:suburb,osm
Iblur,place:quarter,osm
Bellanduru,place:suburb,osm
HSR Layout,place:suburb,osm
Anjanapura,place:suburb,osm
Okalipuram,place:quarter,osm
Ramachandra Pura,place:neighbourhood,osm
Kengeri,place:suburb,osm
Jayamahal Extension,place:neighbourhood,osm
Neelasandra,place:quarter,osm
Rajendranagar,place:neighbourhood,osm
Austin Town BDA Layout,place:neighbourhood,osm
Shanthala Nagar,place:quarter,osm
Sadashivanagar,place:suburb,osm
Subrahmanya Nagar,place:quarter,osm
Guttahalli,place:quarter,osm
Vasanth Nagar,place:suburb,osm
Siddartha Nagar,place:locality,osm
Bismillah Nagar,place:neighbourhood,osm
NAL Layout,place:neighbourhood,osm
RBI Colony,place:locality,osm
Rajanna Layout,place:locality,osm
Canara Bank Colony,place:neighbourhood,osm
LIC Colony,place:locality,osm
Tilak Nagar,place:neighbourhood,osm
Jayanagar 8th Block,place:quarter,osm
Jayanagar 4th Block,place:quarter,osm
Jayanagar 5th Block,place:quarter,osm
Jayanagar 7th Block,place:quarter,osm
IAS Officers Colony,place:neighbourhood,osm
Jayanagar 4T Block,place:quarter,osm
MICO Layout,place:locality,osm
Jayanagar 9th Block,place:quarter,osm
JP Nagar 1st Phase,place:quarter,osm
JP Nagar 2nd Phase,place:quarter,osm
JP Nagar 3rd Phase,place:quarter,osm
Koramangala 2nd Block,place:neighbourhood,osm
MS Palaya,place:quarter,osm
Kammagondanahalli,place:quarter,osm
Doddabomasandra,place:quarter,osm
Kattigenahalli,place:village,osm
Indiranagar 1st Stage,place:neighbourhood,osm
Indiranagar 2nd Stage,place:neighbourhood,osm
Motappanapalya,place:neighbourhood,osm
Jeevan Bhima Nagar,place:quarter,osm
Domlur 1st Stage,place:neighbourhood,osm
New Thippasandra,place:neighbourhood,osm
Vimanapura,place:quarter,osm
Murugeshpalaya,place:quarter,osm
NR Colony,place:neighbourhood,osm
Konena Agrahara,place:neighbourhood,osm
Cooke Town,place:quarter,osm
RMV 2nd Stage,place:suburb,osm
Hebbal,place:suburb,osm
Sanjay Nagara,place:quarter,osm
RMV 2nd Stage 2nd Block,place:neighbourhood,osm
Sundar Nagar,place:neighbourhood,osm
Sahakaranagara,place:suburb,osm
Arkavathy Layout,place:suburb,osm
Arkavathy Layout 7th Block,place:neighbourhood,osm
Arkavathy Layout 1st Block,place:neighbourhood,osm
Jakkur,place:suburb,osm
Arkavathy Layout 3rd Block,place:neighbourhood,osm
MCECHS Layout,place:neighbourhood,osm
Telecom Layout,place:neighbourhood,osm
Hanumanthanagar,place:neighbourhood,osm
Agara,place:neighbourhood,osm
Chelekere,place:neighbourhood,osm
Kalyan Nagar,place:suburb,osm
Shree Vinayaka Layout,place:neighbourhood,osm
Dooravaninagar,place:quarter,osm
Lower Palace Orchard,place:neighbourhood,osm
Uttarahalli,place:suburb,osm
Ullalu,place:quarter,osm
Mahadevapura,place:suburb,osm
Channasandra,place:village,osm
Kanaka Nagar,place:neighbourhood,osm
HMT Watch Factory Colony,place:neighbourhood,osm
Bahubali Nagar,place:locality,osm
Vinayaka Nagar B Block,place:neighbourhood,osm
CNR Layout,place:neighbourhood,osm
Malappa Layout,place:neighbourhood,osm
Bank Avenue Colony,place:neighbourhood,osm
Hennur Gardens,place:neighbourhood,osm
Sri Krishna Nagar,place:neighbourhood,osm
Post & Telegraph Layout,place:neighbourhood,osm
Mohan Kumar Nagar,place:neighbourhood,osm
Muthyalamma Nagar,place:locality,osm
Gokula,place:quarter,osm
MSR Nagar,place:neighbourhood,osm
Peenya 2nd Stage,place:neighbourhood,osm
C V Raman Nagar,place:suburb,osm
Raghavendra Colony,place:neighbourhood,osm
Cottonpete,place:neighbourhood,osm
Prakruthi Township,place:neighbourhood,osm
High Grounds,place:quarter,osm
L.R. Nagar 1st Stage,place:neighbourhood,osm
L.R. Nagar 2nd Stage,place:neighbourhood,osm
Ambedkar Nagar,place:neighbourhood,osm
Goripalya,place:neighbourhood,osm
Hosahalli,place:neighbourhood,osm
AECS Layout,place:quarter,osm
Hosakerehalli,place:quarter,osm
Kasturibai Nagar,place:neighbourhood,osm
Domlur 2nd Stage,place:neighbourhood,osm
Vannarapete,place:neighbourhood,osm
Deepanjali Nagar,place:locality,osm
Bapuji Nagar,place:quarter,osm
Ganapathy Nagar,place:neighbourhood,osm
Girinagar,place:quarter,osm
Byataranyapura,place:quarter,osm
KHR Colony,place:locality,osm
Defence Colony,place:neighbourhood,osm
Someshwaranagar,place:neighbourhood,osm
Nanjappa Garden,place:neighbourhood,osm
Gunjur,place:suburb,osm
Balagere,place:suburb,osm
Varthur,place:suburb,osm
Bhuvaneshwari Nagar,place:neighbourhood,osm
Ittamadu,place:neighbourhood,osm
AGS Layout,place:neighbourhood,osm
Hanumantha Nagar,place:quarter,osm
Katriguppe,place:neighbourhood,osm
HMT Layout,place:neighbourhood,osm
VV Nagar,place:neighbourhood,osm
St. Thomas Town,place:neighbourhood,osm
Avalahalli,place:quarter,osm
Sector A,place:neighbourhood,osm
Yelahanka New Town,place:quarter,osm
Sector B,place:neighbourhood,osm
4th Phase,place:neighbourhood,osm
5th Phase,place:neighbourhood,osm
Gandhinagar,place:neighbourhood,osm
Judicial Layout,place:quarter,osm
Jagadish Nagar,place:neighbourhood,osm
Immadihalli,place:neighbourhood,osm
Valmiki Nagar,place:neighbourhood,osm
KHB Colony,place:locality,osm
Nethaji Circle,highway:mini_roundabout,osm
Vakil Marina Layout,place:neighbourhood,osm
Ramagondanahalli,place:quarter,osm
Eshwara Layout,place:neighbourhood,osm
LBS Nagar,place:neighbourhood,osm
Dollars Colony,place:neighbourhood,osm
Nagashettyhalli,place:quarter,osm
Bhoopasandra,place:quarter,osm
Venkatpura,place:neighbourhood,osm
ST Bed Layout,place:neighbourhood,osm
Nagarabhavi,place:suburb,osm
NGEF Layout,place:neighbourhood,osm
Nallurahalli,place:quarter,osm
Green Domain Layout,place:neighbourhood,osm
Akshaynagar Layout,place:neighbourhood,osm
Domlur Village,place:neighbourhood,osm
Doopanahalli,place:neighbourhood,osm
Dattatreya Nagara,place:neighbourhood,osm
Basaveshwaranagar 2nd Stage,place:neighbourhood,osm
Halasuru,place:suburb,osm
Rajpalya,place:locality,osm
Hoodi,place:suburb,osm
Garudacharpalya,place:neighbourhood,osm
B. Narayanapura,place:quarter,osm
Prashanth Extension,place:neighbourhood,osm
Carmelaram,place:suburb,osm
Sitaramapalya,place:quarter,osm
Thubarahalli,place:neighbourhood,osm
Siddapura,place:neighbourhood,osm
Kadugodi,place:suburb,osm
Pattanduru Agrahara,place:suburb,osm
Manjunath Nagar,place:neighbourhood,osm
R. Narayanapura,place:neighbourhood,osm
Yelenahalli,place:neighbourhood,osm
Cambridge Layout,place:neighbourhood,osm
Udaya Nagar,place:neighbourhood,osm
Sai Layout,place:neighbourhood,osm
Tigalarapalya,place:neighbourhood,osm
Kadugodi Colony,place:neighbourhood,osm
Maithri Layout,place:neighbourhood,osm
Attiguppe,place:quarter,osm
Vinayaka Layout,place:neighbourhood,osm
Gandhipura,place:village,osm
Pantarapalya,place:neighbourhood,osm
Laggere,place:suburb,osm
Sunkadakatte,place:quarter,osm
Chandra Layout,place:quarter,osm
Pushpagiri Nagar,place:neighbourhood,osm
Pattanagere,place:quarter,osm
Kamakshipalya,place:quarter,osm
Mailasandra,place:village,osm
Kottigepalya,place:locality,osm
Andrahalli,place:neighbourhood,osm
Kundalahalli,place:quarter,osm
Kumbena Agrahara,place:village,osm
Sadaramangala,place:village,osm
Kaadubeesanahalli,place:quarter,osm
Panathur,place:suburb,osm
Sorahunase,place:quarter,osm
Rajajinagar 1st Block,place:neighbourhood,osm
Rajajinagar 5th Block,place:neighbourhood,osm
Rajajinagar 3rd Block,place:neighbourhood,osm
Postal Colony,place:neighbourhood,osm
KEB Layout,place:neighbourhood,osm
RMV 2nd Stage 1st Block,place:neighbourhood,osm
Kaithota,place:neighbourhood,osm
Nagondanahalli,place:village,osm
Hagaduru,place:neighbourhood,osm
Kaveri Nagara,place:neighbourhood,osm
Benniganahalli,place:neighbourhood,osm
Prithvi Layout,place:neighbourhood,osm
Darga Mohalla,place:neighbourhood,osm
Maheshwari Nagar,place:locality,osm
B Chikkanna Layout,place:locality,osm
Saraswathi Nagar,place:locality,osm
Shivaganga Layout,place:neighbourhood,osm
BTM 2nd Stage,place:neighbourhood,osm
Annasandra Palya,place:neighbourhood,osm
Lal Bahadur Shastri Nagar,place:neighbourhood,osm
Marenahalli,place:neighbourhood,osm
Saraswathi Nagara,place:neighbourhood,osm
Prashanth Nagar,place:neighbourhood,osm
Malagala,place:neighbourhood,osm
BCC Layout,place:quarter,osm
Dasarahalli,place:neighbourhood,osm
Kaveri Layout,place:neighbourhood,osm
HRBR Layout 2nd Block,place:quarter,osm
HRBR Layout 3rd Block,place:quarter,osm
GKW Layout,place:neighbourhood,osm
M C Layout,place:neighbourhood,osm
Binny Layout,place:neighbourhood,osm
ITI Layout,place:neighbourhood,osm
NHCS Layout,place:neighbourhood,osm
Central Excise Layout,place:neighbourhood,osm
Kurubara Halli,place:quarter,osm
Rajajinagar 6th Block,place:neighbourhood,osm
Poojary Layout,place:neighbourhood,osm
Srinagar,place:quarter,osm
Jayamahal,place:quarter,osm
Sulthanpalya,place:suburb,osm
Kothandram Layout,place:neighbourhood,osm
Sampige Layout,place:neighbourhood,osm
Amarjyothi Nagar,place:neighbourhood,osm
Kaveri Pura,place:neighbourhood,osm
Govindaraj Nagara,place:quarter,osm
Lakshmipuram,place:neighbourhood,osm
HAL 2nd Stage,place:neighbourhood,osm
Belthur,place:village,osm
Gunjur Palya,place:quarter,osm
Doddakannalli,place:suburb,osm
Vajrahalli,place:quarter,osm
Thalaghattapura,place:neighbourhood,osm
Binnamangala,place:neighbourhood,osm
RBI Layout,place:neighbourhood,osm
Navodaya Nagar,place:neighbourhood,osm
Shreyas Colony,place:neighbourhood,osm
Sri Rama Layout,place:neighbourhood,osm
Jagruthi Colony,place:neighbourhood,osm
Maruthi Extension,place:neighbourhood,osm
Gayatri Nagar,place:quarter,osm
Sri Guru Raghavendra Nagar,place:neighbourhood,osm
Lakshmi Nagar,place:neighbourhood,osm
Yadava Layout,place:neighbourhood,osm
Bank of Baroda Colony,place:neighbourhood,osm
Sun City Layout,place:neighbourhood,osm
Yemaluru,place:quarter,osm
AECS Layout,place:neighbourhood,osm
Ramappa Layout,place:neighbourhood,osm
Malleshpalya,place:quarter,osm
Nataraja Layout,place:neighbourhood,osm
M S Ramaiah City,place:neighbourhood,osm
Nrupathunga Nagar,place:neighbourhood,osm
Jaladarshini Layout,place:neighbourhood,osm
Tatanagar,place:quarter,osm
Maruthi Nagar,place:neighbourhood,osm
Medahalli,place:village,osm
Madhuranagara,place:neighbourhood,osm
Bhattarahalli,place:neighbourhood,osm
Gunjur Hosahalli,place:neighbourhood,osm
K R Layout,place:neighbourhood,osm
Srinidhi Layout,place:neighbourhood,osm
Govinda Reddy Layout,place:neighbourhood,osm
Mico Arekere Layout 1st Stage,place:neighbourhood,osm
Gubbalala,place:village,osm
Rustum Bagh,place:neighbourhood,osm
Kamdhenu Nagar,place:neighbourhood,osm
Griha Laxmi Colony,place:locality,osm
Vivekananda Layout,place:locality,osm
Deewanarapalya,place:neighbourhood,osm
Agrahara Layout,place:village,osm
Nagenahalli,place:village,osm
Anantapura,place:neighbourhood,osm
Amarjyothi Nagara,place:neighbourhood,osm
Coffee Board Layout,place:neighbourhood,osm
Kodigehalli,place:quarter,osm
Thindlu,place:quarter,osm
Shampura,place:neighbourhood,osm
Nagavara,place:suburb,osm
Ayyappanagara,place:neighbourhood,osm
Horamavu,place:suburb,osm
K. Channasandra,place:quarter,osm
Varanasi,place:neighbourhood,osm
Kaggadasapura,place:quarter,osm
Devasandra,place:neighbourhood,osm
Ramesh Nagar,place:neighbourhood,osm
Vinayakanagar,place:neighbourhood,osm
Thanisandra,place:quarter,osm
Kowdenahalli,place:neighbourhood,osm
Sampigehalli,place:neighbourhood,osm
Vijaya Bank Colony,place:neighbourhood,osm
Kodigehalli,place:village,osm
Ferns Habitat,place:neighbourhood,osm
Somasundarapalya,place:neighbourhood,osm
Brookes Haven Layout,place:neighbourhood,osm
Islampur,place:neighbourhood,osm
Chinnappanahalli,place:neighbourhood,osm
Kareem Nagar,place:neighbourhood,osm
AECS Layout D Block,place:neighbourhood,osm
AECS Layout B Block,place:neighbourhood,osm
AECS Layout A Block,place:neighbourhood,osm
Nellurupuram,place:neighbourhood,osm
BTM Layout 2nd Stage,place:quarter,osm
BTM Layout 1st Stage,place:quarter,osm
MICO Layout,place:neighbourhood,osm
Mahadeshwara Nagara,place:neighbourhood,osm
DK Naik Nagar,place:neighbourhood,osm
Jayanagar 6th Block,place:quarter,osm
Jayanagar East,place:quarter,osm
Yediyuru,place:neighbourhood,osm
Ayappa Layout,place:locality,osm
Domlur BDA Layout,place:neighbourhood,osm
Sanjay Nagar,place:neighbourhood,osm
Jakkasandra,place:neighbourhood,osm
Teacher's Colony,place:neighbourhood,osm
P R Layout,place:neighbourhood,osm
Nagadevanahalli,place:neighbourhood,osm
Sector 6,place:quarter,osm
Doddabidarakallu,place:neighbourhood,osm
Thimmah Reddy Colony,place:neighbourhood,osm
BDA Layout,place:neighbourhood,osm
BEML Township,place:neighbourhood,osm
Bhoomi Reddy Colony,place:neighbourhood,osm
GM Palya,place:quarter,osm
HAL 3rd Stage,place:neighbourhood,osm
Thippasandra,place:quarter,osm
Vignananagar,place:quarter,osm
Sudgunte Palya,place:neighbourhood,osm
Sector 2,place:quarter,osm
KR Garden,place:neighbourhood,osm
Sri Ram Nagar,place:neighbourhood,osm
NR Layout,place:neighbourhood,osm
SR Layout,place:neighbourhood,osm
Mangamannapalya,place:neighbourhood,osm
Sector 1,place:quarter,osm
Sector 3,place:quarter,osm
Sector 4,place:quarter,osm
Sector 7,place:quarter,osm
Bellahalli,place:village,osm
Lakkasandra,place:quarter,osm
Varthur Kodi,place:neighbourhood,osm
Maruthi Nagara,place:neighbourhood,osm
Air View Colony,place:neighbourhood,osm
Kudlu,place:suburb,osm
Vaikuntam Layout,place:neighbourhood,osm
Peenya,place:suburb,osm
Banashankari 1st Stage,place:quarter,osm
Banashankari 3rd Stage,place:quarter,osm
Thyagaraja Nagar,place:quarter,osm
Annaniappa Layout,place:neighbourhood,osm
Vinayaka Nagar A Block,place:neighbourhood,osm
Muniyappa Layout,place:neighbourhood,osm
Jogupalya,place:neighbourhood,osm
Saraswathipuram,place:neighbourhood,osm
Gowthamapura,place:neighbourhood,osm
A Narayanapura,place:neighbourhood,osm
Beguru,place:suburb,osm
Lingarajapuram,place:suburb,osm
Appareddipalaya,place:neighbourhood,osm
Kadiranpalaya,place:neighbourhood,osm
LIC Colony,place:neighbourhood,osm
Old Thippasandra,place:neighbourhood,osm
BM Kaval,place:neighbourhood,osm
Michaelpalya,place:neighbourhood,osm
